Timestamp,Channel_1
317715.89177971904,5
317716.5049943192,2
317718.51018781983,8
317721.4173769207,9
317724.4248139216,3
317725.17729992187,2
317727.18293372245,8
317730.17933702335,9
317733.18875042425,3
317733.95425792446,4
317735.9584339251,8
317738.980761126,9
317741.9881867269,5
317758.47538693185,2
317760.48532143247,8
317763.5149908334,9
317766.5216051343,3
317767.0655583344,4
317769.0732910351,8
317771.9775339359,9
317774.9822891368,5
317775.50786673697,6
317777.51531513757,8
317780.5943505385,9
317783.6012725394,7
317784.36011073965,2
317786.36980314023,8
317789.1877237411,9
317792.193585242,3
317792.9690875422,2
317794.97578584286,8
317797.84948384366,9
317800.8537280446,3
317801.58716224483,0
317803.5937147454,8
317806.5060522463,9
317809.51476474723,1
317810.1346359474,6
317812.139101848,8
317815.13532444893,9
317818.1388753498,7
317818.76063895004,2
317820.7692037506,8
317823.6560894515,9
317826.65958035237,3
317827.25668555254,4
317829.26597875316,8
317832.220944954,9
317835.22924635495,5
317836.0360663552,4
317838.0417068558,8
317840.9553954567,9
317843.9626693576,5
317844.6587467578,0
317846.6659103584,8
317849.6207569593,9
317852.62883616023,1
317853.2901775604,6
317855.295467661,8
317858.3227363619,9
317861.3323475628,7
317861.98761656304,0
317863.9928491636,8
317867.12078536453,9
317870.1256726655,1
317870.88305066567,0
317872.8895235663,8
317875.8842073672,9
317878.8890652681,1
317879.4721518683,4
317881.4771077689,8
317884.56578666985,9
317887.5737897707,5
317888.12332157086,6
317890.13157177146,8
317893.1079223724,9
317896.11314967327,7
317896.84058677347,6
317898.8468615741,8
317901.70541407494,9
317904.71295857587,7
317905.3789132761,4
317907.3857342767,8
317910.4245276776,9
317913.4282176785,5
317914.19916437875,0
317916.2047025793,8
317919.2023155802,9
317922.2113751811,1
317922.98354568135,2
317924.99162288196,8
317928.10566568293,9
317931.1125374838,3
317956.0059262913,2
317958.01554909186,8
317961.1333198928,9
317964.1435769937,3
317964.976119094,2
317966.9847350946,8
317969.89940149547,9
317972.90600069636,3
317973.7295697966,2
317975.7364480972,8
317978.7693957981,9
317981.77828869905,3
317982.34806889924,0
317984.3557345998,8
317987.2734579007,9
317990.2811318016,1
317990.9366410018,6
317992.94236930244,8
317995.8235382033,9
317998.8326355042,7
317999.67573330447,6
318001.68128210504,8
318004.79434890597,9
318007.8022158069,7
318008.54194000707,2
318010.54814250773,8
318013.61830990866,9
318016.6264379095,3
318017.33788200974,0
318019.34771491034,8
318022.1847041112,9
318025.19042271207,1
318025.7003349123,0
318027.7054130128,8
318030.5411578137,9
318033.54745881463,1
318034.36714271485,4
318036.3717579155,8
318039.3029689163,9
318042.31057411723,5
318042.94439401745,6
318044.9532991181,8
318047.7594407189,9
318050.76541701984,7
318051.27792921994,6
318053.2865440206,8
318056.3170256215,9
318059.3227965224,7
318060.1574856226,2
318062.1651102232,8
318065.24472342414,9
318068.24972852506,3
318068.9085820252,4
318070.9165667259,8
318074.0117771268,9
318077.0192618277,5
318077.84818742797,6
318079.85604032857,8
318082.9368789295,9
318085.94038413034,7
318086.6738934306,4
318088.67988403124,8
318091.56154873205,9
318094.57058303297,5
318095.3178724332,0
318097.3220339338,8
318100.18885513465,9
318103.1944580356,1
318103.73416093574,0
318105.74025813636,8
318108.64643943723,9
318111.6548660381,1
318112.4763678384,4
318114.48590583896,8
318117.37634313985,9
318120.38208474073,5
318121.181321541,4
318123.1887682416,8
318126.17813194246,9
318129.1825199434,5
318165.3486351543,6
318167.35781705484,8
318170.4596971558,9
318173.46614345675,7
318174.23245325696,0
318176.24182065757,8
318179.1094519584,9
318182.1157246593,1
318182.90045705956,4
318184.90858246014,8
318187.78766266105,9
318190.79326666193,5
318191.59764736216,2
